OID_,OBJECTID,PTT_ID,REC_ID,PROGRAM,SATELLIT,REC_TYPE,TIME_OM,TIME_OML,TIME_CTZ,TIME_CTZ_R,YEAR,MONTH,BIRD_MARK,MARK_FLAG,TIME_DIFF,FREQ_FLAG,QUAL_IDX,QUALITY,LAT,LONG,TX_FREQ,COURSE,SPEED,SPEED_MPH,ALT_ACQT,LOC_FLAG,SPORADIC_FLAG,VISUAL_FLAG,NEAR_FID,DistanceAgric,DistanceWetlands,ecotone_code
1210,157485,134355,157485,(b)(5),NA,GPS Fix,11/18/2015 0:00,6.04593E+11,11/18/2015 12:03,11/18/2015 0:00,2015,11,2/2/2014 0:00,Marking done,4.775,Good - Interval > 4 hours from prior record,NA,26 m       -       50 m,37.8308,-97.6412,NA,328,0,0,54,Ground,Not Sporadic,Looks OK,3175,0,0,A
1219,157494,134355,157494,(b)(5),NA,GPS Fix,11/20/2015 0:00,6.04595E+11,11/20/2015 11:49,11/20/2015 0:00,2015,11,2/2/2014 0:00,Marking done,9.525277778,Good - Interval > 4 hours from prior record,NA,26 m       -       50 m,37.8306,-97.6414,NA,140,0,0,26,Ground,Not Sporadic,Looks OK,3175,0,0,A
1222,157497,134355,157497,(b)(5),NA,GPS Fix,11/21/2015 0:00,6.04596E+11,11/21/2015 2:11,11/21/2015 0:00,2015,11,2/2/2014 0:00,Marking done,4.766666667,Good - Interval > 4 hours from prior record,NA,<  26 m,37.831,-97.643,NA,354,0,0,36,Ground,Not Sporadic,Looks OK,3175,0,0,A
1224,157499,134355,157499,(b)(5),NA,GPS Fix,11/21/2015 0:00,6.04596E+11,11/21/2015 11:44,11/21/2015 0:00,2015,11,2/2/2014 0:00,Marking done,4.708333333,Good - Interval > 4 hours from prior record,NA,<  26 m,37.8309,-97.6414,NA,18,0,0,38,Ground,Not Sporadic,Looks OK,3175,0,0,A
1234,157509,134355,157509,(b)(5),NA,GPS Fix,11/23/2015 0:00,6.04598E+11,11/23/2015 11:37,11/23/2015 0:00,2015,11,2/2/2014 0:00,Marking done,4.788333333,Good - Interval > 4 hours from prior record,NA,<  26 m,37.8311,-97.6414,NA,16,0,0,36,Ground,Not Sporadic,Looks OK,3175,0,0,A
1235,157511,134355,157511,(b)(5),NA,GPS Fix,11/23/2015 0:00,6.04598E+11,11/23/2015 16:25,11/23/2015 0:00,2015,11,2/2/2014 0:00,Marking done,4.730555555,Good - Interval > 4 hours from prior record,NA,26 m       -       50 m,37.8309,-97.6413,NA,284,1,1.15,72,Ground,Not Sporadic,Looks OK,3175,0,0,A
1238,157514,134355,157514,(b)(5),NA,GPS Fix,11/24/2015 0:00,6.04598E+11,11/24/2015 6:48,11/24/2015 0:00,2015,11,2/2/2014 0:00,Marking done,4.821944444,Good - Interval > 4 hours from prior record,NA,<  26 m,37.8307,-97.6412,NA,352,1,1.15,156,Ground,Not Sporadic,Looks OK,3175,0,0,A
1244,157520,134355,157520,(b)(5),NA,GPS Fix,11/27/2015 0:00,6.04601E+11,11/26/2015 21:00,11/26/2015 0:00,2015,11,2/2/2014 0:00,Marking done,4.816944444,Good - Interval > 4 hours from prior record,NA,<  26 m,37.8308,-97.6414,NA,316,0,0,188,Ground,Not Sporadic,Looks OK,3175,0,0,A
1245,157521,134355,157521,(b)(5),NA,GPS Fix,11/28/2015 0:00,6.04602E+11,11/28/2015 6:25,11/28/2015 0:00,2015,11,2/2/2014 0:00,Marking done,33.41472222,Good - Interval > 4 hours from prior record,NA,26 m       -       50 m,37.8309,-97.6414,NA,106,2,2.3,84,Ground,Not Sporadic,Looks OK,3175,0,0,A
1246,157522,134355,157522,(b)(5),NA,GPS Fix,11/28/2015 0:00,6.04602E+11,11/28/2015 11:11,11/28/2015 0:00,2015,11,2/2/2014 0:00,Marking done,4.765277778,Good - Interval > 4 hours from prior record,NA,26 m       -       50 m,37.831,-97.6414,NA,356,0,0,38,Ground,Not Sporadic,Looks OK,3175,1.015471855,0,A
842,98888,119236,98888,(b)(5),NA,GPS Fix,11/6/2014 0:00,6.04267E+11,11/5/2014 18:14,11/5/2014 0:00,2014,11,11/30/2012 0:00,Marking done,4.775,Good - Interval > 4 hours from prior record,NA,26 m       -       50 m,39.6677,-97.9077,NA,0,0,0,54,Ground,Not Sporadic,Looks OK,12285,24.04703633,0,A
844,98890,119236,98890,(b)(5),NA,GPS Fix,11/6/2014 0:00,6.04267E+11,11/6/2014 3:48,11/6/2014 0:00,2014,11,11/30/2012 0:00,Marking done,4.788333334,Good - Interval > 4 hours from prior record,NA,26 m       -       50 m,39.6677,-97.9077,NA,0,0,0,38,Ground,Not Sporadic,Looks OK,12285,24.04703633,0,A
1173,153209,134352,153209,(b)(5),NA,GPS Fix,4/6/2016 0:00,6.04714E+11,4/6/2016 14:13,4/6/2016 0:00,2016,4,2/3/2014 0:00,Marking done,4.774722222,Good - Interval > 4 hours from prior record,NA,<  26 m,38.2994,-97.7708,NA,4,0,0,28,Ground,Not Sporadic,Looks OK,4671,26.55498353,0,A
